Country or Area,Year,Value,Value Footnotes,Unit
Algeria,2015,65,,%
Algeria,2014,65,,%
Algeria,2013,65,,%
Algeria,2012,65,,%
Algeria,2011,61,,%
Algeria,2010,60,,%
Angola,2011,17.79999924,,%
Burundi,2015,4.5,"1,2",%
Burundi,2014,4.5,"1,2",%
Burundi,2013,4.5,"1,2",%
Burundi,2012,4,"1,2",%
Burundi,2011,4,"1,2",%
Cabo Verde,2015,20.89999962,3,%
Cabo Verde,2014,19.79999924,3,%
Cabo Verde,2013,20.70000076,3,%
Cabo Verde,2012,19.5,3,%
Cabo Verde,2010,17.29999924,3,%
Kenya,2012,4.900000095,,%
Kenya,2011,4.900000095,,%
Kenya,2010,4.900000095,,%
Mali,2015,23.20000076,,%
Mali,2013,23.10000038,,%
Mauritius,2015,25,,%
Mauritius,2014,24,,%
Mauritius,2013,23,,%
Mauritius,2012,22.23999977,4,%
Mauritius,2011,20.97999954,4,%
Mauritius,2010,20.10000038,4,%
South Africa,2011,57,5,%
Tunisia,2010,53.83000183,,%
